"ID","offering_highest_level","inst_control","institution_level","sector","hbcu","hospital","medical_degree","tribal_college","urban_centric_locale","offering_highest_degree","offering_grad","inst_system_flag","inst_category","land_grant","inst_size","cc_basic_2018","cc_instruc_undergrad_2018","cc_instruc_grad_2018","cc_undergrad_2018","cc_enroll_2018","cc_size_setting_2018","cc_class","geo_region","HasCTL","SoTL","DBER","TAR","EdRes","Reference","CuratedResourceCollections","Unprogramming","SoTLHowtoWorkshops","OneonOneConsultations","SoTLProjectDevelopmentInstitutes","SoTLWritingRetreats","SoTLFacultyLearningCommunity","CTLCollaborations","TraintheTrainerModel","StudentsasPartnersinSoTL","IncentivesforSoTLProjects","AwardsorTitlesRecognizingSoTLWork","LocalSoTLShowcases"
74,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb large","Master's degree",TRUE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"1K","Baccalaureate/associate's colleges: Mixed baccalaureate/associate's","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year mostly part-time","Very high undergraduate","Four-year small primarily nonresidential","Baccalaureate associates colleges Mixed baccalaureate associates","Great Lakes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
75,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"20K","Doctoral universities: Very high research activity","Arts & sciences plus professions high graduate coexistence","Research doctoral: Comprehensive programs no medical/veterinary school","Four-year nearly all full-time highly selective acceptance lower transfer-in","High undergraduate","Four-year large primarily residential","Doctoral universities Very high research activity","Rocky Mountains",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Town remote","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Transfer-focused mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Transfer focused","Rocky Mountains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting not primarily baccalaureate or above",FALSE,"20K","Doctoral/professional universities","Baccalaureate/associate's colleges","Research doctoral: Professional-dominant","Four-year mostly full-time inclusive acceptance lower transfer-in","Very high undergraduate","Four-year large primarily nonresidential","Doctoral professional universities","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Suburb midsize","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Vocational-focused mostly nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Vocational focused","Great Lakes",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"At least two but less than four academic years","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City large","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"10K","Associate's colleges: Transfer-focused mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year large","Associates colleges Transfer focused","Far West",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Other-dominant with other professional programs","Four-year mostly full-time selective acceptance higher transfer-in","High undergraduate","Four-year very small primarily residential","Masters colleges universities Small programs","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Suburb midsize","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb small","Bachelor's degree",FALSE,FALSE,"Degree-granting not primarily baccalaureate or above",FALSE,"1K","Associate's colleges: Vocational-focused mostly nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Vocational focused","Rocky Mountains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Master's degree",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Business-dominant with arts & aciences programs","Four-year mostly full-time inclusive acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily nonresidential","Masters colleges universities Small programs","Great Lakes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
84,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Bachelor's degree",FALSE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate colleges: Arts & sciences focus","Arts & sciences focus no graduate coexistence","Not classified (exclusively undergraduate)","Four-year nearly all full-time highly selective acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year small highly residential","Baccalaureate colleges Arts sciences focus","Mid East",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City small","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mostly traditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year very small","Associates colleges Vocational focused","Rocky Mountains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town distant","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate/associate's colleges: Mixed baccalaureate/associate's","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year nearly all full-time selective acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year very small highly residential","Baccalaureate associates colleges Mixed baccalaureate associates","New England",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",TRUE,"10K","Doctoral universities: High research activity","Balanced arts & sciences/professions high graduate coexistence","Research doctoral: STEM-dominant","Four-year nearly all full-time highly selective acceptance higher transfer-in","High undergraduate","Four-year large primarily residential","Doctoral universities High research activity","Rocky Mountains",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,NA,FALSE,FALSE,"City small","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Special-focus four-year: Other health professions schools","Arts & sciences focus high graduate coexistence","Research doctoral: Professional-dominant","Four-year mostly part-time","Majority graduate","Four-year very small primarily nonresidential","Special focus institution","Far West",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City large","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Transfer-focused mostly traditional students","Associate's colleges: Transfer-focused","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year large","Associates colleges Transfer focused","Mid East",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Rural fringe","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Mixed transfer/vocational focus mostly nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Mixed transfer vocational focus","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"At least two but less than four academic years","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City midsize","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Mixed transfer/vocational focus mostly traditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Mixed transfer vocational focus","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Suburb large","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Vocational-focused mostly traditional students","Associate's colleges: Transfer-focused","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Vocational focused","New England",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City midsize","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Mixed transfer/vocational focus mostly nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Mixed transfer vocational focus","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"5K","Baccalaureate/associate's colleges: Associate's-dominant","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year mostly full-time inclusive acceptance higher transfer-in","Exclusively undergraduate four-year","Four-year medium primarily nonresidential","Baccalaureate associates colleges Associates dominant","Far West",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Town remote","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mostly traditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","Southeast",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Bachelor's degree",FALSE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Special-focus four-year: Faith-related institutions","Professions focus no graduate coexistence","Not classified (exclusively undergraduate)","Four-year nearly all full-time inclusive acceptance higher transfer-in","Exclusively undergraduate four-year","Four-year very small highly residential","Special focus institution","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"20K","Doctoral universities: Very high research activity","Professions plus arts & sciences high graduate coexistence","Research doctoral: Comprehensive programs no medical/veterinary school","Four-year mostly part-time","High undergraduate","Four-year large primarily residential","Doctoral universities Very high research activity","Southwest",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree research/scholarship",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Professions focus some graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year nearly all full-time highly selective acceptance higher transfer-in","Very high undergraduate","Four-year small primarily nonresidential","Masters colleges universities Small programs","Rocky Mountains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City midsize","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Transfer-focused mostly nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Transfer focused","Rocky Mountains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree research/scholarship",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Doctoral universities: High research activity","Professions plus arts & sciences high graduate coexistence","Research doctoral: STEM-dominant","Four-year nearly all full-time highly selective acceptance lower transfer-in","High undergraduate","Four-year medium primarily residential","Doctoral universities High research activity","Plains",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
101,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"Under 1K","Special-focus four-year: Other special-focus institutions","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year nearly all full-time inclusive acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year very small primarily nonresidential","Special focus institution","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Doctor's degree professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Special-focus four-year: Faith-related institutions","Baccalaureate/associate's colleges","Postbaccalaureate: Single program&ndash,Other","Four-year mostly full-time inclusive acceptance higher transfer-in","Majority undergraduate","Four-year very small primarily nonresidential","Special focus institution","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town distant","Bachelor's degree",FALSE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate colleges: Arts & sciences focus","Arts & sciences plus professions no graduate coexistence","Not classified (exclusively undergraduate)","Four-year nearly all full-time selective acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year small highly residential","Baccalaureate colleges Arts sciences focus","Plains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,TRUE,FALSE,"City midsize","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"20K","Doctoral universities: Very high research activity","Arts & sciences focus high graduate coexistence","Research doctoral: Comprehensive programs with medical/veterinary school","Four-year nearly all full-time highly selective acceptance lower transfer-in","Majority graduate","Four-year large highly residential","Doctoral universities Very high research activity","New England",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Education-dominant with arts & sciences programs","Four-year mostly full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year small primarily residential","Masters colleges universities Medium programs","Plains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Professions focus some graduate coexistence","Postbaccalaureate: Other-dominant with arts & sciences programs","Four-year mostly full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year small primarily residential","Masters colleges universities Medium programs","Southwest",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year nearly all full-time selective acceptance higher transfer-in","High undergraduate","Four-year small highly residential","Masters colleges universities Small programs","Rocky Mountains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Doctor's degree research/scholarship",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Professions plus arts & sciences some graduate coexistence","Research doctoral: Single program&ndash,Other","Four-year nearly all full-time inclusive acceptance lower transfer-in","Very high undergraduate","Four-year small highly residential","Masters colleges universities Medium programs","Great Lakes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"At least two but less than four academic years","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City large","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"5K","Associate's colleges: Vocational-focused mixed traditional/nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Vocational focused","Far West",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb large","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"5K","Baccalaureate/associate's colleges: Associate's-dominant","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year mostly full-time inclusive acceptance higher transfer-in","Exclusively undergraduate four-year","Four-year medium primarily nonresidential","Baccalaureate associates colleges Associates dominant","Great Lakes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
111,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City small","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Mixed transfer/vocational focus mostly traditional students","Associate's colleges: Transfer-focused","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year medium","Associates colleges Mixed transfer vocational focus","Far West",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"At least two but less than four academic years","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,TRUE,"Rural remote","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",TRUE,"Under 1K","Tribal colleges","Professions focus no graduate coexistence","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year very small","Special focus institution","Southwest",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Rural fringe","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate colleges: Arts & sciences focus","Arts & sciences focus high graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year nearly all full-time highly selective acceptance higher transfer-in","High undergraduate","Four-year very small highly residential","Baccalaureate colleges Arts sciences focus","Southwest",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate colleges: Diverse fields","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Single program&ndash,Education","Four-year nearly all full-time inclusive acceptance lower transfer-in","Very high undergraduate","Four-year very small highly residential","Baccalaureate colleges Diverse fields","Southeast",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year nearly all full-time inclusive acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily residential","Masters colleges universities Medium programs","Plains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town distant","Master's degree",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Master's colleges & universities: Medium programs","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Education-dominant with arts & sciences programs","Four-year nearly all full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily residential","Masters colleges universities Medium programs","Great Lakes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb large","Bachelor's degree",FALSE,FALSE,"Degree-granting not primarily baccalaureate or above",FALSE,"20K","Associate's colleges: Mixed transfer/vocational focus mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year very large","Associates colleges Mixed transfer vocational focus","Southwest",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate colleges: Diverse fields","Professions plus arts & sciences no graduate coexistence","Not classified (exclusively undergraduate)","Four-year nearly all full-time highly selective acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year small highly residential","Baccalaureate colleges Diverse fields","Rocky Mountains",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"10K","Doctoral/professional universities","Professions plus arts & sciences some graduate coexistence","Research doctoral: STEM-dominant","Four-year nearly all full-time selective acceptance higher transfer-in","Majority undergraduate","Four-year large primarily residential","Doctoral professional universities","Mid East",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
